Loading Dataset & Normalization Scalers...
Loading 140 processed PCAP tensor files...
Loaded 17733 total network flows into VRAM.
Loading Model...

================================================================================
SOURCE FILE                         | TRUE LABEL      | PREDICTED LABEL
================================================================================
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
skype_audio3.pcapng.pt              | VOIP            | FT             
